id;data;qtd
1;2014-06-30;19889932
2;2014-07-31;7538996
3;2014-08-31;15873923
4;2014-09-30;11966924
5;2014-10-31;18169208
6;2014-11-30;16161434
7;2014-12-31;11574117
8;2015-01-31;20241095
9;2015-02-28;40465194
10;2015-03-31;7352164
11;2015-04-30;4696897
12;2015-05-31;10986075
13;2015-06-30;20492994
14;2015-07-31;1329098
15;2015-08-31;2264192
16;2015-09-30;21742006
17;2015-10-31;8942589
18;2015-11-30;22361246
19;2015-12-31;12192380
20;2016-01-31;1991695
21;2016-02-29;39652984
22;2016-03-31;9610222
23;2016-04-30;20941125
24;2016-05-31;5471981
25;2016-06-30;8362974
26;2016-07-31;32667580
27;2016-08-31;4214256
28;2016-09-30;12937628
29;2016-10-31;11526327
30;2016-11-30;32356320
31;2016-12-31;10188498
32;2017-01-31;48303251
33;2017-02-28;127458589
34;2017-03-31;14044490
35;2017-04-30;84819682
36;2017-05-31;3279752
37;2017-06-30;64536001
38;2017-07-31;33365007
39;2017-08-31;35652679
40;2017-09-30;58063130
41;2017-10-31;39817003
42;2017-11-30;83583599
43;2017-12-31;52727194
44;2018-01-31;194273531
45;2018-02-28;29565657
46;2018-03-31;11299624
47;2018-04-30;47292761
48;2018-05-31;13465657
49;2018-06-30;19526176
50;2018-07-31;76877945
51;2018-08-31;97454866
52;2018-09-30;18572345
53;2018-10-31;1351732
54;2018-11-30;13669597
55;2018-12-31;61600083
56;2019-01-31;36754361
57;2019-02-28;33872761
58;2019-03-31;71578536
59;2019-04-30;61956340
60;2019-05-31;110525695
61;2019-06-30;135592615
62;2019-07-31;984075401
